iter	RMSE
0	8056.12659
1	7904.380337
2	7769.123161
3	7642.977352
4	7527.163532
5	7396.773331
6	7274.802915
7	7148.630067
8	7030.693972
9	6939.731087
10	6817.505935
11	6700.347263
12	6603.299295
13	6505.432098
14	6392.751898
15	6296.996384
16	6193.04567
17	6088.84995
18	5986.279029
19	5911.775096
20	5843.275132
21	5753.248763
22	5663.593331
23	5600.747382
24	5524.18623
25	5437.90836
26	5370.099986
27	5277.01599
28	5215.229368
29	5110.645832
30	5039.458751
31	4970.456461
32	4908.909633
33	4851.663017
34	4780.76875
35	4722.692184
36	4660.717899
37	4591.963443
38	4527.62178
39	4460.224139
40	4392.377509
41	4334.985406
42	4278.162714
43	4219.977063
44	4163.038587
45	4111.85453
46	4057.39877
47	3992.605232
48	3947.611434
49	3898.198923
50	3854.816074
51	3805.459046
52	3766.220916
53	3724.167749
54	3679.812461
55	3637.980515
56	3595.66294
57	3551.902245
58	3513.11939
59	3470.508164
60	3430.575877
61	3400.815379
62	3358.348869
63	3329.358943
64	3295.044061
65	3268.278038
66	3230.436322
67	3192.048372
68	3161.974071
69	3128.428082
70	3093.737568
71	3058.415707
72	3029.821596
73	3005.059227
74	2972.157053
75	2945.017108
76	2914.75231
77	2884.667819
78	2862.496602
79	2840.45733
80	2823.593226
81	2799.885335
82	2776.242497
83	2746.859108
84	2723.812846
85	2702.394416
86	2677.63773
87	2652.016925
88	2625.563858
89	2605.231127
90	2579.457427
91	2554.207463
92	2528.631962
93	2505.010225
94	2486.042504
95	2470.521699
96	2454.120219
97	2431.670781
98	2412.425196
99	2398.158957
100	2382.560344
101	2362.148568
102	2337.047154
103	2317.982565
104	2300.408594
105	2288.758755
106	2271.964026
107	2252.65971
108	2235.898696
109	2224.68355
110	2207.338668
111	2196.572236
112	2181.975317
113	2167.363344
114	2156.289943
115	2139.176504
116	2121.726634
117	2110.681775
118	2100.097815
119	2077.717796
120	2069.860568
121	2054.917678
122	2042.404881
123	2025.987655
124	2014.412402
125	2001.93233
126	1992.15412
127	1977.203883
128	1966.521762
129	1954.410458
130	1943.110846
131	1929.457112
132	1913.490471
133	1900.815539
134	1892.302188
135	1876.172718
136	1861.111638
137	1849.801364
138	1835.272106
139	1826.53494
140	1814.991985
141	1800.485669
142	1787.609331
143	1781.430462
144	1774.533666
145	1763.86023
146	1752.684314
147	1743.077605
148	1733.285646
149	1724.603205
150	1718.091576
151	1709.420147
152	1699.425824
153	1689.435265
154	1683.244146
155	1674.850717
156	1667.438749
157	1656.472512
158	1650.115876
159	1642.949776
160	1632.626914
161	1624.634521
162	1619.429873
163	1611.898163
164	1607.389526
165	1594.606599
166	1587.606195
167	1579.941558
168	1572.099617
169	1563.618678
170	1559.241759
171	1549.907413
172	1539.184765
173	1532.096663
174	1526.691371
175	1517.12761
176	1511.479801
177	1501.880491
178	1494.057954
179	1485.596951
180	1478.153343
181	1470.39572
182	1463.630383
183	1457.326052
184	1448.268571
185	1442.144221
186	1436.886821
187	1431.889633
188	1425.398663
189	1417.55597
190	1410.697679
191	1402.8212
192	1394.256717
193	1388.630492
194	1379.608943
195	1371.819329
196	1362.475231
197	1356.603126
198	1348.429806
199	1342.919397
200	1335.224827
201	1330.598011
202	1326.685496
203	1322.429018
204	1318.028433
205	1314.639831
206	1309.124505
207	1300.850622
208	1296.316581
209	1287.843806
210	1283.496348
211	1277.72942
212	1271.532739
213	1267.07949
214	1261.373904
215	1253.419732
216	1248.187771
217	1243.4906
218	1240.482641
219	1237.265442
220	1228.902225
221	1226.061227
222	1219.337383
223	1213.758822
224	1210.590073
225	1203.916672
226	1199.667801
227	1195.753193
228	1193.943884
229	1189.942686
230	1182.871678
231	1179.648299
232	1176.538155
233	1172.324527
234	1166.229764
235	1163.33047
236	1158.825968
237	1155.47849
238	1150.577151
239	1142.891955
240	1134.795049
241	1132.563343
242	1127.886438
243	1123.396508
244	1118.344668
245	1113.090814
246	1106.731505
247	1101.771544
248	1098.816991
249	1095.957467
250	1093.423258
251	1090.529939
252	1088.064248
253	1084.576906
254	1081.492547
255	1078.411127
256	1072.822413
257	1069.959167
258	1066.90126
259	1064.199637
260	1060.998952
261	1057.923051
262	1055.684504
263	1053.850678
264	1051.488751
265	1050.297131
266	1047.606109
267	1046.211063
268	1044.267391
269	1041.789629
270	1040.100369
271	1034.689782
272	1030.058889
273	1027.811366
274	1025.645793
275	1021.575193
276	1018.163691
277	1016.317983
278	1013.999112
279	1011.280001
280	1009.443863
281	1005.306025
282	1000.035185
283	995.7764504
284	993.2916853
285	991.484517
286	988.2860684
287	985.8609296
288	983.1026146
289	981.3145914
290	979.4814383
291	976.0167368
292	972.8127382
293	968.6747483
294	964.7053541
295	962.9788217
296	961.4745205
297	956.8594674
298	954.7529835
299	952.8416784
300	950.7647954
301	948.1110589
302	944.6051433
303	941.1145619
304	939.4197285
305	937.4437195
306	936.2852914
307	933.0166886
308	930.6774497
309	928.9960834
310	925.7645257
311	923.5501185
312	920.7291657
313	919.0787088
314	915.482557
315	911.5460298
316	909.4213205
317	905.0827199
318	903.7397666
319	899.519873
320	896.1559899
321	894.6829296
322	892.8168325
323	890.4266749
324	889.0795308
325	887.3081451
326	885.9086467
327	881.6012252
328	880.1767522
329	879.0508601
330	877.777288
331	876.8324866
332	874.0363158
333	873.2753117
334	871.9182271
335	870.8498017
336	869.0851483
337	865.7646423
338	864.7329693
339	860.9899455
340	858.7947854
341	855.3063605
342	853.4090486
343	848.0224929
344	847.0414721
345	845.0730287
346	840.6390334
347	839.7001369
348	837.4964073
349	836.3449761
350	834.4419112
351	832.6816447
352	831.1697138
353	829.890338
354	828.0367749
355	826.9313009
356	823.5185376
357	820.9804606
358	819.6380513
359	818.5939909
360	814.8136392
361	812.9828768
362	811.3139424
363	809.7488959
364	807.9798409
365	805.2182678
366	803.858314
367	800.9515955
368	799.9721552
369	797.2705422
370	795.4736602
371	793.5376419
372	792.2460727
373	790.4667177
374	787.015931
375	785.7175248
376	784.4278547
377	781.4268526
378	777.7116382
379	774.18701
380	773.3150315
381	770.2578569
382	767.6653867
383	765.2351638
384	762.9320903
385	759.7588903
386	757.6662299
387	754.2237382
388	753.1770111
389	751.635293
390	748.7830195
391	746.5011255
392	744.601842
393	742.0130585
394	737.7878324
395	735.4947685
396	734.6621234
397	732.1539661
398	731.3333661
399	730.6069391
400	729.3586892
401	727.7905352
